iter	Logloss
0	0.6226864118
1	0.5789710075
2	0.5307758827
3	0.5024123256
4	0.4658925009
5	0.4485272463
6	0.4295869152
7	0.411289677
8	0.3988396341
9	0.3880317927
10	0.37904984
11	0.3686473487
12	0.3642685552
13	0.3593118437
14	0.352331803
15	0.3482649594
16	0.3413648392
17	0.3408849742
18	0.3339465359
19	0.3299442856
20	0.3272517251
21	0.324382457
22	0.3217637272
23	0.3175373847
24	0.3154747796
25	0.3131763817
26	0.3107823256
27	0.3099422027
28	0.3078904772
29	0.3067456233
30	0.3048567836
31	0.304495294
32	0.3043529014
33	0.30360026
34	0.3025644071
35	0.3015531531
36	0.3004366614
37	0.2979812964
38	0.2971662855
39	0.2968429771
40	0.2926451679
41	0.2905044214
42	0.2895907073
43	0.2883590904
44	0.2875488692
45	0.2851425308
46	0.2845615336
47	0.2834794083
48	0.2829189215
49	0.2829189386
50	0.2808626799
51	0.2808349678
52	0.2801752133
53	0.2783800647
54	0.2771142866
55	0.2763949168
56	0.2729715937
57	0.2703257505
58	0.2677491877
59	0.2661832117
60	0.2655939692
61	0.2646065956
62	0.2637200805
63	0.2619111271
64	0.2609280471
65	0.2582871647
66	0.2570213694
67	0.2547759326
68	0.2535336755
69	0.2527440503
70	0.2518376235
71	0.2498977045
72	0.2468665256
73	0.2457104841
74	0.2439709993
75	0.2429661088
76	0.2420637191
77	0.2412893184
78	0.2405623363
79	0.2402164818
80	0.2393752812
81	0.2379021409
82	0.2360185529
83	0.2350447787
84	0.2334671021
85	0.230646142
86	0.2296857278
87	0.2288154636
88	0.2278741571
89	0.2270290563
90	0.2264709815
91	0.2243314666
92	0.2225120613
93	0.2212791956
94	0.220371024
95	0.217742133
96	0.2159747479
97	0.2154418877
98	0.2149108408
99	0.2135402183
100	0.2135027556
101	0.212561261
102	0.2116640031
103	0.2111983021
104	0.2099299409
105	0.209291672
106	0.2091624341
107	0.2081836991
108	0.207078087
109	0.2053621916
110	0.205311215
111	0.2052795684
112	0.204146398
113	0.2030889058
114	0.2021702993
115	0.20165706
116	0.2011093345
117	0.2003275781
118	0.1994429105
119	0.1981048926
120	0.196770621
121	0.1961651789
122	0.1948967835
123	0.193929869
124	0.1926329916
125	0.1913561971
126	0.1899108545
127	0.1898669256
128	0.1894659205
129	0.1890458932
130	0.1879262539
131	0.187175152
132	0.1859526014
133	0.1859124188
134	0.1856119814
135	0.1846859851
136	0.1844579243
137	0.1836369775
138	0.1834820461
139	0.1826967316
140	0.1816977086
141	0.1813884615
142	0.1809737543
143	0.1805500663
144	0.1800459276
145	0.1788234283
146	0.1778117295
147	0.1766640017
148	0.1762900075
149	0.1761578958
150	0.1752749901
151	0.1750144445
152	0.174986664
153	0.1747581927
154	0.1741257056
155	0.1736338149
156	0.1731011429
157	0.1714091964
158	0.1708852315
159	0.1707833465
160	0.1700054904
161	0.1685984316
162	0.1676889599
163	0.1672263723
164	0.1669068786
165	0.1659622535
166	0.1650685024
167	0.1644312427
168	0.1641380071
169	0.1636375119
170	0.1629578458
171	0.162295628
172	0.1620575772
173	0.1601221401
174	0.1594971114
175	0.1586112805
176	0.1576947268
177	0.1572339695
178	0.1565694424
179	0.1557932114
180	0.155770289
181	0.1557597686
182	0.1548148869
183	0.1544253259
184	0.1540269552
185	0.1540051105
186	0.1539849936
187	0.1535403675
188	0.1532454897
189	0.1524773841
190	0.1516445827
191	0.1516286055
192	0.1507136426
193	0.1498020668
194	0.1490135022
195	0.1486689478
196	0.1483591704
197	0.1473782116
198	0.146365093
199	0.1450059147
